"id";"site";"job_url";"job_url_direct";"title";"company";"location";"date_posted";"job_type";"salary_source";"interval";"min_amount";"max_amount";"currency";"is_remote";"job_level";"job_function";"listing_type";"emails";"description";"company_industry";"company_url";"company_logo";"company_url_direct";"company_addresses";"company_num_employees";"company_revenue";"company_description";"skills";"experience_range";"company_rating";"company_reviews_count";"vacancy_count";"work_from_home_type"
"in-a211c80ca0c38759";"indeed";"https://br.indeed.com/viewjob?jk=a211c80ca0c38759";"https://pmweb.gupy.io/job/eyJqb2JJZCI6MTExMTAzNjQsInNvdXJjZSI6ImluZGVlZCJ9?jobBoardSource=indeed";"Analista de Dados Júnior";"Pmweb";"Remoto, BR";"2026-04-18";"";"";"";"";"";"";True;"";"";"";"";"Estamos em busca de pessoas para posições a nível **Júnior**

Coletamos, processamos e acionamos milhões de dados de lojas físicas, e-commerces, dados de navegação e fidelidade. Por meio da tecnologia, tornamos a comunicação de massa altamente personalizada e automatizada.

 **Responsabilidades e atribuições**

Este profissional atuará em projetos com processos automatizados em que o foco é a entrega da informação relevante no momento certo, através de tecnologia para grandes volumes de dados de grandes clientes. Participará da definição de processos e sistemas, levantamento de requisitos atuando na análise e desenvolvimento de forma independente ou em conjunto com o time. Além disso, irá realizar implantação e manutenção de ETL, construindo entregáveis com foco no negócio/solução e com qualidade e alta performance técnica. Atuará com plataformas de marketing e Customer Data Platforms

 **Requisitos e qualificações**

* Experiência com plataformas de Marketing (Salesforce MCE / Oracle Responsys / Insider) e CDPs (SF Data Cloud / Oracle Unity / mParticle)
* Experiência em desenvolvimento e manutenção de rotinas de integração de dados;
* Experiência em análise de dados de diferentes fontes, realizando o tratamento e gerando novas informações;
* Experiência em programação T-SQL e análise de sistemas;
* Forte senso analítico;
* Graduação completa ou em andamento.

 **Informações adicionais**

Experiência em outros bancos de dados relacionais são bem-vindas;

Inglês e/ou espanhol.

Ser **Pmweber** é encontrar um espaço colaborativo e repleto de oportunidades para crescer.

É encarar os desafios todos os dias e contar com pessoas entusiasmadas para vencê-los.

**Porque para pessoas incríveis não há limites**.

**Respiramos a nossa cultura.**

Aqui você vai conhecer gente exponencial, fazer parte de equipes incríveis que topam desafios únicos, participar de projetos inovadores com colaboração nas nuvens e ter a oportunidade de crescer em escala.

**Mas o que a Pmweb faz?**

A Pmweb é uma empresa de tecnologia e serviços para marketing e CRM.

Existimos para ajudar empresas a criarem relacionamentos únicos em escala, elevando nossos clientes e equipe a um novo patamar de geração de valor.

**Quais valores você vai encontrar por aqui?**

**Aberta e Autêntica:**

* As pessoas devem ser quem são para fazerem o seu melhor.
* Pertencemos ao mundo.
* A verdade e o certo para nós são inegociáveis.
* Tratamos as pessoas como elas esperam ser tratadas.

**Entendimento em todos os sentidos:**

* Entender o contexto, além da atividade.
* Somos obcecados pelo sucesso do cliente.
* Dados são o combustível para a escala.
* Relacionamento é o nosso negócio.

**Evolução constante:**

* Buscamos sempre estar preparados.
* Somos resilientes frente às adversidades e nos adaptamos às mudanças.
* Somos curiosos para criar o futuro.
* Acreditamos na inovação.

**E quais benefícios a Pmweb oferece?**

**Pensamos em Saúde e Bem-estar:** possuímos Assistência Médica e Odontológica além de Seguro de Vida, Auxílio Creche e Day Off de aniversário e Wellhub. Vale Transporte e Vale Refeição e/ou Alimentação também fazem parte dos nossos benefícios.

**Sua evolução faz parte do nosso crescimento:** oferecemos Incentivo Idiomas, Incentivo Educação e Incentivo Certificações.

**Somos flexíveis:** temos 7 opções diferentes de horário de trabalho pra você escolher e, com nosso formato de trabalho híbrido, oferecemos também Auxílio Home Office.

**Reconhecemos os resultados alcançados:** temos um ciclo de avaliação estruturado e feedbacks constantes. Esta é uma parte fundamental para chegarmos no resultado do nosso PLR - Participação nos Lucros da Empresa.

Gostou?

**Encontre aqui a vaga certa** para você e venha fazer parte da nossa equipe.

Saiba mais sobre o que rola aqui dentro no nosso perfil no Instagram @pmwebers.";"";"https://br.indeed.com/cmp/Pmweb-1";"";"";"";"";"";"";"";"";"";"";"";""
"in-741d0adfccb28340";"indeed";"https://br.indeed.com/viewjob?jk=741d0adfccb28340";"https://neogridcarreiras.gupy.io/job/eyJqb2JJZCI6MTEwMzc1NDQsInNvdXJjZSI6ImluZGVlZCJ9?jobBoardSource=indeed";"Pessoa Desenvolvedora FullStack Junior | (Java)";"";"Remoto, BR";"2026-04-18";"";"";"";"";"";"";True;"";"";"";"";"A Neogrid é uma empresa de capital aberto (B3: NGRD3) e referência em **tecnologia e inteligência de dados para o varejo, indústria e distribuição**. Há mais de 26 anos, criamos soluções que conectam toda a cadeia de consumo e abastecimento, permitindo que nossos clientes tomem decisões mais ágeis, inteligentes e rentáveis.

Estamos em busca de pessoas com foco em evoluir continuamente, capazes de se guiar por métricas de negócios reais e acionáveis, e que nos ajudem a impactar o mundo do varejo, da indústria, da tecnologia e dos consumidores

Na Neogrid, nós existimos pelo cliente, e nos dedicamos todos os dias a entregar os melhores resultados com excelência.

Acreditamos no poder da **diversidade**, que amplia, inclui e faz crescer.

Aqui, você terá a oportunidade de mostrar o seu valor e se desafiar, ajudando **os maiores players do mercado nacional** a manter suas empresas no ritmo dos consumidores!

 **Responsabilidades e atribuições**  

* Colaborar com equipes multidisciplinares para desenvolver e dar manutenção em soluções inovadoras;
* Participar na arquitetura de sistemas;
* Desenvolver e manter código de alta qualidade, garantindo a escalabilidade, segurança e desempenho;
* Solucionar problemas complexos, realizar revisões de código;
* Atualizar-se com as tendências tecnológicas e propor a adoção de novas tecnologias e melhores práticas;
* Desenvolver e fazer a manutenção de sistemas utilizando Java, Spring Boot, JSP, React, Docker, etc
* Participar de Refatoração de códigos e otimização de consultas SQL;
* Participar ativamente do processo de Code Review afim de proteger o código e os padrões do time;
* Desenvolver e fazer a manutenção de pipelines de CI/CD;
* Desenvolver testes e pipeline de testes.

  
**Requisitos e qualificações**  

* Experiência prévia em desenvolvimento de sistemas de alta complexidade;
* Experiência em desenvolvimento Java e Javascript;
* Experiência e sólido conhecimento em bancos de dados relacionais (PostgreSQL, Oracle, etc);
* Sólido conhecimento em linguagens de programação;
* Experiência em design e arquitetura de sistemas;
* Habilidades em resolução de problemas e depuração;
* Excelentes habilidades de comunicação;
* Conhecimento em metodologias de desenvolvimento ágil (Scrum, Kanban);
* Habilidade para dar e receber feedbacks construtivos;
* Proatividade para identificar problemas e propor melhorias;
* Capacidade de avaliar e adotar novas tecnologias de forma estratégica.

**Será um** ***plus*** **se você tiver:**

* Superior completo em Ciência da Computação, Engenharia de Software ou áreas relacionadas;
* Conhecimento em React.

  
**Informações adicionais**

Na Neogrid, a Gente se Importa com Gente.

Por isso, oferecemos benefícios que apoiam o desenvolvimento pessoal e profissional das nossas pessoas.

Nossas oportunidades são **Remotas ou Híbridas** e exclusivas para quem mora no Brasil!

Aqui temos **Flexibilidade** em nosso horário de trabalho!

Oferecemos **Plano de Saúde**, **Plano Odontológico**, e **Seguro de Vida** (todos extensíveis a dependentes legais).

Temos **Auxílio-medicamento**, **extensível** para filhos e filhas!

Disponibilizamos **Vale Transporte** ou **Auxílio-estacionamento** para você que mora nas cidades em que temos escritórios!

Com nosso **Vale Alimentação/Refeição flexível** é você quem manda.

Apoiamos o seu bem-estar com o **Wellhub** (antigo **Gympass**) e **TotalPass**

No mês do seu aniversário, você tem direito a um day off, **no dia da sua escolha** para descansar como quiser.

Conte com nosso programa de apoio à parentalidade, **NeoBaby,** focado em recém mamães e papais!

Temos a **Unico Skill**, solução educacional de capacitações externas para o desenvolvimento contínuo

Fornecemos **Auxílio-creche** e **Licença Parental Estendida** de **6 meses** para mamães e de **30 dias** para papais.

Temos **Programa de Indicação, bonificação e muito mais**!

*Ufaaaaa! Agora só falta você aqui com a gente*

**Quem somos**

Criada a partir de um sonho ambicioso, a Neogrid já chegou ao mundo destinada a ser grande!

Há 26 anos, construímos um ecossistema de tecnologia e inteligência de dados poderoso, o único capaz de conectar e impulsionar o varejo e indústria a venderem mais, com mais margem.

Temos uma base sólida de clientes, dados, tecnologia e segurança para sustentar grandes operações através de insights acionáveis que apoiam o planejamento e a execução do negócio de nossos clientes.

Hoje, mais de 8 mil empresas, entre eles as maiores indústrias e varejos do Brasil e do mundo, usam as soluções Neogrid para otimizar suas operações.

Nosso modelo de trabalho, remoto ou híbrido, é apoiado por escritórios em Joinville, São Paulo e Florianópolis, que oferecem espaços para construir, trocar e celebrar com nossas pessoas.

**Jeito Neogrid de Ser**

Nossa cultura é viva e forte em tudo que fazemos: nos gestos de colaboração, na dedicação ao cliente e na iniciativa de ir além para alcançar os melhores resultados. Esse é o nosso jeito de ser!";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"in-75a56f8dc027beca";"indeed";"https://br.indeed.com/viewjob?jk=75a56f8dc027beca";"https://logothink.gupy.io/job/eyJqb2JJZCI6MTA2MzIwMTIsInNvdXJjZSI6ImluZGVlZCJ9?jobBoardSource=indeed";"Desenvolvedor ADVPL JR/PL";"";"Remoto, BR";"2026-04-17";"fulltime";"";"";"";"";"";True;"";"";"";"";"### **Vem ser Logithink!**

A Logithink, empresa especializada em consultoria para ERPs TOTVS e AMS.

Estamos com uma excelente oportunidade para profissionais desenvolvedores em ADVPL/TLPP para trabalhar com produtos da Logithink instalados em ambientes Totvs Protheus!

Você possui experiência com Desenvolvimento em ADVPL e busca crescimento profissional em uma empresa inovadora?

**Esta é sua chance!**

 **Responsabilidades e atribuições**  

### **O que você vai fazer**

Como parte essencial do nosso time de desenvolvimento ADVPL, você terá a oportunidade de:

* **Desenvolver rotinas em ADVPL/TLPP e PO-UI**, incluindo relatórios, triggers, pontos de entrada no desenvolvimento de produtos Logithink;
* **Utilizar** durante o desenvolvimento **programação orientada a objeto, MVC;**
* **Criar novas funcionalidades ou adaptar as existentes** como melhorias de produtos;
* **Integração do Protheus** com outras ferramentas **através de APIs;**
* **Realização de testes nos desenvolvimentos** para garantir sua funcionalidade no produto padrão Totvs Protheus;
* **Elaborar e orientar atividades de correção e manutenção** dos programas;
* **Identificar e corrigir bugs** ou problemas de funcionamento;
* **Fornecer suporte aos usuários** em relação aos produtos da Logithink;
* **Atuar na atualização e manutenção** dos produtos da Logithink;
* **Construção de relatórios** para diversas áreas de negócio.

  
**Requisitos e qualificações**  

### **Requisitos Técnicos Obrigatórios**

* Experiência com **Banco de Dados SQL**
* Experiência com **integração de APIs**
* Conhecimento nas **tabelas Protheus**
* Base sólida em **ADVPL ou TLPP**
* Experiência com **GIT e SVN**

### **Diferenciais que contam pontos:**

* **Certificação TOTVS** em ADVPL;
* Vivência com **IA voltada aos desenvolvimentos;**
* Análise e mapeamento/definição de **processos parametrizáveis**;
* Conhecimentos básicos em **linguagens WEB (HTML, CSS, Javascript)**;
* Conhecimentos na **API Microsoft Graph**
* Conhecimentos no **Backoffice Protheus ( compras, faturamento, estoque e financeiro ).**

 **Informações adicionais**  

### **Por que você vai curtir trabalhar com a gente**

Aqui, valorizamos a **autonomia, colaboração e aprendizado contínuo**.

Você fará parte de um time que **incentiva a troca de conhecimento**, a **inovação constante** e o uso das melhores práticas em Desenvolvimento ADVPL .

### **O que oferecemos:**

**Regime:** PJ ou Cooperativa (à combinar)

**Carga horária:** Fulltime, vaga efetiva

**Modelo de trabalho:** 100% Remoto

**Venha fazer parte do time Logithink e transforme sua carreira**

### **Vem com a gente transformar o futuro!**

**#VagaTech #ADVPL #TLPP #JavaScript #HTML #CSS #TOTVS #PROTHEUS#VagaRemota #OportunidadeTech**

A Logithink vai além da tecnologia para repensar a inteligência do seu negócio. Como especialistas em negócios com profundo conhecimento Protheus e demais ERPs TOTVS, entregamos mais que um sistema: construímos o caminho para sua empresa alcançar máxima eficiência, segurança e desempenho.

Potencialize sua gestão com nossa consultoria e soluções da Fábrica de Software e automações fiscais e libere sua equipe para focar no que realmente importa: o seu negócio.

**Nossos números:**

11 mil projetos implantados

130 colaboradores

430 clientes satisfeitos

2.000 empresas atendidas

Mais de 23 anos de experiênciamplantados";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"in-e6218cd3b43330ce";"indeed";"https://br.indeed.com/viewjob?jk=e6218cd3b43330ce";"https://meta.jobs.recrut.ai/vagas/apply/X5GVGQ?source=indeed";"Desenvolvedor Service Now Junior";"Meta IT";"Remoto, BR";"2026-04-16";"";"";"";"";"";"";True;"";"";"";"";"**O que procuramos?**

Buscamos um(a) profissional com experiência em desenvolvimento de sistemas, atuando em projetos de Front-End e/ou Back-End, com conhecimento no módulo de ITSM, incluindo gestão de incidentes, problemas, usuários e permissionamentos (ACLs e CMDB). É importante ter vivência com desenvolvimento em abordagens No-Code, Low-Code e High-Code no ServiceNow, além de atuação com portais, widgets e integrações com APIs externas.

**Atribuições principais:**

Programar, codificar e testar sistemas na linguagem, transitando entre projetos de desenvolvimento Front-End e/ou Back-End;

Modificar sistemas, para atender novas regras de negócio;

Executar a manutenção dos sistemas, fazendo possíveis alterações, atendendo às necessidades dos usuários;

Desenvolver trabalhos de montagem, depuração e testes de programas, executar serviços de manutenção nos programas já desenvolvidos;

Executar tarefas rotineiras de programação;

Auxiliar na evolução dos sistemas;

Mapear regras de negócio em sistemas existentes.

**Requisitos:**

Experiência no módulo de ITSM, com conhecimento em incidentes, problemas, soluções de questões de usuários, permissionamentos (ACLs) e permissionamento de ativos (módulo de CMDB);

Experiência com desenvolvimento de demandas utilizando No-Code, Low-Code e High-Code, como Business Rules, Client Scripts em Record Producers, Script Includes, UI Policies, Scheduled Jobs em Data Configuration definidos pelo cliente e Flows no Flow Designer;

Experiênca em portais com Front-end e Widgets (HTML, CSS, AngularJS e JavaScript);

Experiência com criação de tabelas, campos e Record Producers;

Experiência com integrações com APIs externas utilizando dados existentes do ServiceNow.

**Localidade da posição: Remoto**

**Por que construir sua carreira na Meta?**

Oferecemos autonomia, metas claras e um ambiente dinâmico e desafiador, onde os profissionais têm oportunidade de interagir com diferentes tecnologias, participar de todos os tipos de projetos, trazer novas ideias e trabalhar de qualquer lugar do Brasil e (por que não?) do mundo. Além disso, somos uma das melhores empresas para se trabalhar no Brasil segundo o Great Place to Work e uma das 10 empresas que mais crescem no país há 3 anos consecutivos, segundo o Anuário Informática Hoje.

**Quais são nossos valores?**

* Somos pessoas servindo pessoas
* Pensamos e agimos como donos
* Temos gana por performance
* Crescemos e aprendemos juntos
* Buscamos excelência e a simplicidade
* Temos inovação e criatividade no nosso DNA

Todas as pessoas são bem-vindas independentemente de sua condição, deficiência, etnia, crença religiosa, orientação sexual, aparência, idade ou afins. Queremos que você cresça conosco em um ambiente acolhedor e repleto de oportunidades.

Se identificou? Então, #VemSerMeta!";"";"https://br.indeed.com/cmp/Meta-IT-1";"https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/92d974c8e934ee329a0f17aa2a1dbc95";"http://www.meta.com.br";"São Paulo, São Paulo";"1,001 to 5,000";"$25M to $100M (USD)";"META IT is an IT Consulting Company that has 30 years of success. We can provide consulting expertise to support IT strategy, software development, outsourced operations and SAP Projects.";"";"";"";"";"";""
"in-b631121498b5df83";"indeed";"https://br.indeed.com/viewjob?jk=b631121498b5df83";"https://platformbuilders.inhire.app/vagas/8ea1ec29-288e-4977-b931-259aa94c6745/desenvolvedora-java-junior?source=indeed";"Desenvolvedor(a) Java Júnior";"Platform Builders";"Remoto, BR";"2026-04-15";"";"";"";"";"";"";True;"";"";"";"";"**Quem somos nós?**

Somos um ecossistema de transformação digital que combina tecnologia e visão estratégica para **escalar resultados** e aumentar o valor entregue aos nossos clientes. Trabalhamos na construção de **soluções inovadoras** e disruptivas em **mais de 300 projetos com grandes empresas nacionais** de múltiplos segmentos.

Nosso propósito é **impactar positivamente pessoas e negócios**, exponencializando cada um para atingir seu máximo potencial. Respeitamos todas as diferenças e criamos um **espaço aberto e livre** para você ter autonomia, expor suas ideias, aprender com os erros, se conectar com outras pessoas e **gerar mudanças ao seu redor**.

Se você deseja estar em um ambiente colaborativo, desafiador e que incentiva você a sempre evoluir e ser o protagonista da sua história, aqui é o seu lugar!

**Antes de avançarmos, é importante você saber que:**

* **Contratação:** CLT
* **Modelo de Trabalho:** Remoto
* **Horário:** das 9h às 12h e das 13h às 18h. A jornada é flexível conforme agendas e entregas. *.*
* **Etapas do Processo:** Composto por 3 a 4 etapas, com um tempo médio de até 03 dias úteis entre uma etapa e outra.
* **Meios de Comunicação:** Utilizamos E-mail e WhatsApp. Certifique-se de que essas informações estejam corretas no momento de inscrição para evitar falhas na comunicação

**O que buscamos?**

Buscamos uma pessoa Desenvolvedora Java Júnior para atuar em projetos reais desde o início, contribuindo no desenvolvimento de soluções backend e evoluindo com o suporte do time.

Mais do que domínio técnico, valorizamos curiosidade, autonomia e capacidade de aprendizado contínuo.

Esperamos alguém que goste de construir, testar, errar e evoluir rápido, utilizando ferramentas modernas — incluindo IA — como apoio para ganhar produtividade, qualidade e aprofundar seu conhecimento técnico no dia a dia.

**Como será seu dia-a-dia?**

* Atuar no desenvolvimento e evolução de soluções backend
* Apoiar na construção de novas funcionalidades e melhorias contínuas
* Participar da análise e resolução de problemas técnicos
* Colaborar com o time em decisões e aprendizados do dia a dia
* Utilizar ferramentas de IA como apoio no desenvolvimento e aprendizado
* Participar de cerimônias ágeis e contribuir com melhorias

**Para cumprir esse desafio, você precisa ter:**

* Conhecimento básico em Java e lógica de programação
* Familiaridade com orientação a objetos
* Noções de APIs REST
* Conhecimento básico em banco de dados (SQL ou NoSQL)
* Experiência prática com projetos (acadêmicos, pessoais ou bootcamps), com evidências (ex: GitHub)
* Vontade de aprender e evoluir constantemente
* Interesse no uso de IA como apoio no desenvolvimento

**O que oferecemos aos nossos Builders?**

* Auxílio Alimentação (VA/VR) no cartão Caju;
* Auxílio Home-Office no cartão Caju;
* Programa de Pontos Flexíveis em seu Caju - *um valor fléxivel para você usar como você quiser;*
* Plano de Saúde Nacional Porto Seguro (Plano Prata com apartamento e sem coparticipação) com 50% da mensalidade custeada pela Builders;
* Assistência Odontológica pela Porto Seguro (Plano Bronze) com 100% da mensalidade paga pela Builders;
* Auxílio Creche para crianças de até 72 meses;
* Auxílio à Saúde Mental - *acesso ao aplicativo Vida+*;
* Auxílio à Saúde Física - *acesso ao aplicativo Gympass*;
* Seguro de vida

*Todas as nossas vagas são inclusivas e abertas a pessoas de todas as identidades de gênero, orientações sexuais, idades, etnias, culturas, origens, crenças, deficiências e outras diversidades. Acreditamos que a pluralidade enriquece nosso time e promove um ambiente de trabalho mais inovador e colaborativo*.

***Ficou com curiosidade de saber mais? #SóBora se inscrever?***";"";"https://br.indeed.com/cmp/Platform-Builders";"https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/4c555b1f07d3582400c6ea0e3bc9ac06";"http://www.platformbuilders.io";"";"";"";"";"";"";"";"";"";""
"in-6f72c98c9064913a";"indeed";"https://br.indeed.com/viewjob?jk=6f72c98c9064913a";"https://vr.inhire.app/vagas/5ed1fa92-4eac-4684-b538-9106d7353772/desenvolvedor-front-end-junior?source=indeed";"Desenvolvedor Front End Júnior";"VR";"Remoto, BR";"2026-04-14";"";"";"";"";"";"";True;"";"";"";"";"Estamos buscando uma pessoa Desenvolvedora Front End Júniot para integrar nosso time VR.

Se você é apaixonada(o) por pessoas e tem o propósito de impactar a vida de milhões de trabalhadores, apoiar e orientar soluções no dia a dia, venha trabalhar com a gente!

  

**Responsabilidades:**

* Desenvolver, evoluir e manter aplicações front-end utilizando Angular

* Criar e dar manutenção em componentes reutilizáveis e escaláveis

* Implementar novas funcionalidades seguindo requisitos técnicos e de negócio

* Integrar o front-end com APIs e serviços back-end

* Realizar ajustes, correções de bugs e melhorias contínuas no código

* Participar ativamente de refinamentos, planejamentos e code reviews

* Contribuir com sugestões de melhorias técnicas e arquiteturais

* Garantir qualidade, performance e boa experiência do usuário nas entregas

  

**Escolaridade:**

* Superior Completo

  

**Experiência:**

* Conhecimento sólida com Angular (componentes, diretivas, services, módulos e rotas)

* Conhecimento de TypeScript e JavaScript (ES6+)

* Conhecimento em HTML5 e CSS3 com foco em semântica e responsividade

* Desenvolvimento de Single Page Applications (SPA)

* Integração e consumo de APIs REST

* Uso de RxJS e conceitos de programação reativa

* Implementação de formulários reativos e template-driven

* Versionamento de código com Git

* Aplicação de boas práticas de código e padrões de arquitetura front-end

* Conhecimento em performance, acessibilidade e usabilidade

* Experiência com metodologias ágeis (Scrum/Kanban)

  

**Benefícios:**

* Vale Refeição
* Vale Alimentação
* Programa Evolui - Parceria com Unico Skill
* Vale Cultura
* Assistência Médica
* Assistência Odontológica
* Seguro de Vida
* Convênio com farmácia
* Programa de Participação de Resultados
* Auxílio Home Office Mensal
* Total Pass e/ou Wellhub
* Parceria com a Zenklub
* Auxílio Creche/Babá

  

**Na VR, valorizamos a diversidade e a inclusão. Todas as nossas oportunidades estão abertas para pessoas com deficiência (PcD).**";"";"https://br.indeed.com/cmp/Vr-c231865e";"https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/28deeb96919adc34e326cba426224dea";"";"";"";"";"";"";"";"";"";"";""
